TyreId,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2016859652.00,353.00,20101202.00,1012021543.00,9.00,1.00,1.00,1.00,1.00,77.00,55.00,46.00,-4.00,42.00,56.00,807.00
2017274697.00,353.00,20101202.00,1012021539.00,9.00,1.00,1.00,1.00,1.00,53.00,22.00,25.00,-2.00,50.00,48.00,184.00
2017224627.00,340.00,20101210.00,1012091141.00,9.00,1.00,1.00,1.00,1.00,56.00,39.00,29.00,-20.00,30.00,44.00,228.00
2017224627.00,340.00,20101209.00,1012091141.00,0.00,1.00,1.00,0.00,0.00,133.00,118.00,28.00,-19.00,31.00,77.00,-1.00
2017229109.00,340.00,20101210.00,1012091145.00,9.00,1.00,1.00,1.00,1.00,78.00,54.00,31.00,-11.00,35.00,56.00,392.00
2017229109.00,340.00,20101209.00,1012091145.00,0.00,1.00,1.00,0.00,0.00,130.00,106.00,35.00,-15.00,44.00,34.00,-1.00
2017029792.00,341.00,20101209.00,1012090142.00,9.00,1.00,1.00,1.00,1.00,118.00,70.00,37.00,-5.00,70.00,39.00,220.00
2017031215.00,341.00,20101209.00,1012090158.00,9.00,1.00,1.00,1.00,1.00,78.00,33.00,35.00,-9.00,64.00,56.00,280.00
2017031216.00,341.00,20101209.00,1012090148.00,0.00,1.00,1.00,0.00,0.00,115.00,87.00,48.00,-8.00,85.00,75.00,-1.00
2017031216.00,341.00,20101209.00,1012090148.00,0.00,1.00,1.00,0.00,0.00,108.00,95.00,53.00,-11.00,76.00,36.00,-1.00
2017031216.00,341.00,20101209.00,1012090148.00,0.00,1.00,1.00,0.00,0.00,127.00,103.00,60.00,-15.00,91.00,72.00,-1.00
2017031216.00,341.00,20101209.00,1012090210.00,9.00,1.00,1.00,1.00,1.00,93.00,42.00,36.00,-18.00,66.00,60.00,308.00
2017031233.00,341.00,20101209.00,1012090159.00,9.00,1.00,1.00,1.00,1.00,58.00,26.00,36.00,-13.00,48.00,35.00,148.00
2017224122.00,341.00,20101209.00,1012090153.00,9.00,1.00,1.00,1.00,1.00,77.00,57.00,29.00,-11.00,49.00,42.00,380.00
2017224129.00,341.00,20101209.00,1012090161.00,9.00,1.00,1.00,1.00,1.00,94.00,75.00,47.00,-1.00,38.00,34.00,218.00
2017224131.00,341.00,20101209.00,1012090154.00,9.00,1.00,1.00,1.00,1.00,111.00,43.00,38.00,-2.00,59.00,46.00,170.00
