Video_Name,y_test,y_pred
2015_07_22-16_57_26__16_57_28_V1437577046_018.mp4,21.808269885099755,23.441666288502081
2015_08_06-09_48_16__09_48_18_V1438847295_995.mp4,23.453116640085852,21.434247099180567
2015_08_20-18_31_20__18_31_22_V1440088280_022.mp4,32.473745209335199,32.208805619926608
2015_07_22-16_49_35__16_49_37_V1437576575_019.mp4,14.549991347615991,18.847877305008687
2015_08_06-10_22_11__10_22_13_V1438849330_997.mp4,18.965107841785617,24.123566994533462
2015_08_20-16_51_24__16_51_26_V1440082284_025.mp4,25.939980074796015,26.100834706151449
2015_07_22-16_21_48__16_21_50_V1437574908_011.mp4,33.075807795750329,27.881545301296551
2015_08_20-16_50_24__16_50_26_V1440082224_006.mp4,25.499456481031512,26.741093825304489
2015_08_20-18_01_23__18_01_25_V1440086483_005.mp4,30.20210126555077,28.762114259793819
2015_08_20-16_56_55__16_56_57_V1440082615_026.mp4,20.052069115189823,22.988898568698502
2015_07_23-13_55_11__13_55_13_V1437652510_993.mp4,26.984608792403346,22.35458972687146
2015_08_06-10_30_32__10_30_34_V1438849832_026.mp4,23.169512247238156,25.651975571202538
2015_08_20-17_10_03__17_10_05_V1440083403_023.mp4,24.586441084440871,24.373784936650058
2015_08_13-08_53_00__08_53_02_V1439448780_005.mp4,31.236099820985459,31.421493693777911
2015_08_20-17_55_10__17_55_12_V1440086110_016.mp4,25.137195276275612,26.11055519472885
2015_07_23-13_31_45__13_31_47_V1437651104_996.mp4,25.450873054848692,22.238983543134271
2015_08_13-09_22_04__09_22_06_V1439450524_006.mp4,22.398329154201907,25.739720478132128
2015_08_20-16_45_53__16_45_55_V1440081953_004.mp4,21.234706638165729,22.49017952222086
2015_08_20-17_15_32__17_15_34_V1440083732_019.mp4,29.86057267697586,27.2357830937347
2015_08_06-10_08_52__10_08_54_V1438848531_997.mp4,27.387244475864271,23.621646346086173
2015_08_06-10_24_02__10_24_04_V1438849442_007.mp4,31.434571432938245,32.492471269148936
2015_08_13-09_41_45__09_41_47_V1439451705_029.mp4,20.448877394784539,23.33337713027564
2015_08_06-09_49_57__09_49_59_V1438847397_001.mp4,21.899994685509959,20.593463998361919
2015_08_06-10_04_48__10_04_50_V1438848288_015.mp4,23.00625961714006,23.146268880745907
2015_08_06-10_16_42__10_16_44_V1438849002_000.mp4,14.156835893296277,20.171581476467722
2015_07_23-13_30_47__13_30_49_V1437651047_011.mp4,21.900425331725316,21.635472566222219
2015_07_22-16_43_05__16_43_07_V1437576185_003.mp4,19.181499345536174,19.674310581678803
2015_07_22-16_57_15__16_57_17_V1437577035_020.mp4,26.41792426225766,25.601053894944496
2015_08_06-09_49_45__09_49_47_V1438847385_004.mp4,19.521999542048192,25.509906071019323
2015_08_20-17_33_28__17_33_30_V1440084808_027.mp4,27.809705176730166,24.622862076081091
2015_07_22-16_33_07__16_33_09_V1437575586_998.mp4,20.227332915626498,23.904464300133228
2015_08_13-09_31_59__09_32_01_V1439451119_014.mp4,26.695038491695232,21.957648246296408
2015_08_20-18_05_48__18_05_50_V1440086748_015.mp4,27.223097264672237,24.748661891015182
2015_07_22-16_38_11__16_38_13_V1437575891_002.mp4,25.758197098471356,27.922620031479891
2015_08_20-18_33_10__18_33_12_V1440088389_999.mp4,18.64432904887034,19.625421842942828
2015_08_06-10_28_15__10_28_17_V1438849695_021.mp4,21.81460723679519,22.372436447105883
2015_08_13-09_12_13__09_12_15_V1439449932_997.mp4,26.239889487039779,27.120204867192147
2015_08_06-10_19_26__10_19_28_V1438849165_999.mp4,15.453513009475083,17.62124167696879
